Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
4,120,NY Islanders,Otto Koivula,L,Ilves Jrs (Finland),28,0,4,4,6,2022-23
4,121,Pittsburgh,Ryan Jones,D,Lincoln Stars [USHL],,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,122,Toronto,Vladimir Bobylev,L,Victoria Royals [WHL],,,,,,
5,123,Edmonton,Dylan Wells,G,Peterborough Petes [OHL],1,0,0,0,0,2022-23
5,124,Montreal,Casey Staum,D,Grand Rapids (Minn. H.S.),,,,,,
5,125,St. Louis,Nolan Stevens,C,Northeastern University [H-East],,,,,,
5,126,Calgary,Mitchell Mattson,C,Bloomington Thunder [USHL],,,,,,
5,127,Winnipeg,Jordan Stallard,C,Calgary Hitmen [WHL],,,,,,
5,128,Dallas,Colton Point,G,Carleton Place Canadians [CCHL],,,,,,
5,129,Buffalo,Philip Nyberg,D,Linkoping Jrs (Sweden),,,,,,
5,130,Buffalo,Vojtech Budik,D,Prince Albert Raiders [WHL],,,,,,
5,131,Colorado,Adam Werner,G,Farjestads Jrs (Sweden),2,0,0,0,0,2019-20
5,132,New Jersey,Yegor Rykov,D,St. Petersburg Jrs (Russia),,,,,,
5,133,Ottawa,Max Lajoie,D,Swift Current Broncos [WHL],70,7,8,15,20,2022-23
5,134,Carolina,Jeremy Helvig,G,Kingston Frontenacs [OHL],,,,,,
5,135,Boston,Joona Koppanen,L,Ilves Jrs (Finland),5,0,1,1,4,2022-23
5,136,Boston,Cameron Clarke,D,Lone Star Brahmas [NAHL],,,,,,
5,137,Detroit,Jordan Sambrook,D,Erie Otters [OHL],,,,,,
5,138,Nashville,Patrick Harper,L,Avon Old Farms (Conn. H.S.),,,,,,
5,139,Philadelphia,Linus Hogberg,D,Vaxjo Jrs (Sweden),5,0,2,2,2,2021-22
5,140,Vancouver,Cole Candella,D,Hamilton Bulldogs [OHL],,,,,,
5,141,NY Rangers,Tim Gettinger,L,Soo Greyhounds [OHL],16,0,1,1,0,2021-22
5,142,Los Angeles,Michael Eyssimont,C,St. Cloud State [NCHC],56,5,10,15,63,2023-24
5,143,Chicago,Mathias From,L,Rogle Jrs (Sweden),,,,,,
5,144,St. Louis,Conner Bleackley,C,Red Deer Rebels [WHL],,,,,,
5,145,Washington,Beck Malenstyn,L,Calgary Hitmen [WHL],25,2,1,3,11,2023-24
5,146,Dallas,Nicholas Caamano,R,Flint Firebirds [OHL],36,1,2,3,21,2020-21
5,147,Washington,Axel Jonsson-Fjallby,L,Djurgarden Jrs (Sweden),73,8,10,18,12,2022-23
5,148,Tampa Bay,Christopher Paquette,C,Niagara IceDogs [OHL],,,,,,
5,149,Edmonton,Graham McPhee,L,U.S. National Development Team [USHL],,,,,,
5,150,San Jose,Manuel Wiederer,R,Moncton Wildcats [QMJHL],,,,,,
5,151,Pittsburgh,Niclas Almari,D,Jokerit Jrs (Finland),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,152,Toronto,Jack Walker,L,Victoria Royals [WHL],,,,,,
6,153,Edmonton,Aapeli Rasanen,C,Tappara Jrs (Finland),,,,,,
6,154,Vancouver,Jakob Stukel,L,Calgary Hitmen [WHL],,,,,,
6,155,Columbus,Peter Thome,G,Aberdeen Wings [NAHL],,,,,,
6,156,Calgary,Eetu Tuulola,R,HPK Jrs (Finland),,,,,,
6,157,Winnipeg,Mikhail Berdin,G,Russia U-18 Team,,,,,,
