Name,GSAA_Quality1,GSAA_Quality2,GSAA_Quality3,GSAA_Quality4,GSAA_Quality5,GSAA_Quality6,GSAA_Quality7,GSAA_Quality8,GSAA_Quality9,GSAA,Team,GP,Cap,VPM
Cam Talbot,-0.4592,1.1883,-6.0007,-1.8911,-4.3344,4.1027,1.2473,-1.5102,0.1059,-7.5514,OTT,36,3666667.0,-3.25566989
Jake Allen,-0.3884,4.0655,4.5588,-1.5642,-5.9144,-5.4567,-9.3983,-1.0408,-1.2209,-16.3594,MTL,42,2875000.0,-3.2675059999999996
Spencer Martin,-0.6008,-3.2834,-7.0718,-5.6283,-6.6226,4.5535,0.2229,-0.1837,-6.1922,-24.8064,VAN,29,762500.0,-3.456911
Frederik Andersen,0.6309,1.4241,-2.5054,1.5288,-3.1422,-5.9301,1.5104,0.6531,4.3207,-1.5097,CAR,34,4500000.0,-3.4573279999999995
Mackenzie Blackwood,0.367,-3.321,-2.9196,-0.1987,2.2456,4.9039,-8.6577,0.1633,0.2693,-7.1479,SJS,22,2800000.0,-3.531495999999999
Petr Mrazek,0.5279,0.1221,-4.9103,-1.8591,2.0678,0.0168,-4.8843,0.3061,-1.6823,-10.2953,CHI,39,3800000.0,-3.7468719999999984
Semyon Varlamov,0.4442,2.9337,-4.3987,1.6025,0.3026,1.3219,2.3545,-0.5102,2.4039,6.4544,NYI,23,5000000.0,-3.810943999999999
Ville Husso,0.0687,1.5747,-10.6258,-4.1091,-1.6083,-3.0816,1.4763,-0.1837,2.888,-13.6008,DET,56,4750000.0,-3.9166919999999994
Andrei Vasilevskiy,-0.221,3.8954,7.555,-2.1829,-4.0105,5.0415,7.782,0.1429,-2.112,15.8904,TBL,60,9500000.0,-4.2513039999999975
Alex Nedeljkovic,-0.7618,-2.887,2.2489,-3.6507,1.1317,-2.3605,-0.3885,0.1633,1.0257,-5.4789,PIT,15,3000000.0,-4.374936
Thatcher Demko,-0.5043,1.5279,1.4846,-0.3431,-1.2383,-4.0284,1.8161,0.6531,-2.8941,-3.5265,VAN,32,5000000.0,-5.036359999999999
Jordan Binnington,0.7146,-1.7084,-1.9658,-1.1829,-0.747,-4.3969,4.7515,-1.2041,-6.5447,-12.2837,STL,61,6000000.0,-5.038087999999998
Jacob Markstrom,-1.1115,-0.3685,-0.6227,0.0576,-0.7044,-10.0918,1.0146,1.9388,-2.0061,-11.894,CGY,59,6000000.0,-5.204559999999999
Philipp Grubauer,0.4829,3.1976,-6.7774,-1.1347,1.2243,3.279,-2.7345,0.3061,-0.4902,-2.6469,SEA,39,5900000.0,-5.4182559999999995
Kaapo Kahkonen,0.47,2.6787,-7.4412,-3.8591,-7.8931,-7.1821,-1.1839,-0.3469,-0.7882,-25.5458,SJS,37,2750000.0,-5.913491999999999
Anton Khudobin,0.0129,0.3396,-0.6893,0.3686,-1.2313,-0.3955,-1.4251,0.0,0.0,-3.0201,DAL,1,3333333.0,-6.16149011
John Gibson,0.7983,-4.0763,3.5195,3.1954,1.8508,-21.3212,4.1182,0.6327,-0.7882,-12.0708,ANA,53,6400000.0,-6.694992
Matt Murray,0.3863,-5.3778,2.98,1.8974,-4.7579,-0.9527,-0.0585,-0.3469,0.295,-5.9351,TOR,26,6250000.0,-8.481924
Jack Campbell,-0.4077,-4.6231,-9.0331,2.4775,1.993,-2.2928,-4.4835,-0.6735,-5.9229,-22.9661,EDM,36,5000000.0,-9.181864000000001
Cal Petersen,-1.8584,-1.2265,-3.9258,-0.5673,0.3061,-0.1966,0.1681,0.1633,-2.6763,-9.8134,PHI,10,5000000.0,-9.405216
Jonathan Quick,-0.2017,-3.1137,-6.7387,-2.3655,-2.6618,-0.2476,-5.4592,-0.5102,0.0227,-21.2757,LAK,41,5800000.0,-9.462168
Sergei Bobrovsky,-0.1888,-6.378,0.4584,-5.6796,7.1817,-2.0262,1.1645,2.1224,1.3464,-1.9992,FLA,50,10000000.0,-10.679808
Elvis Merzlikins,0.4571,-11.1986,-8.3956,-1.734,0.8221,-2.9854,-4.4957,0.3265,-3.5159,-30.7195,CBJ,30,5400000.0,-12.490680000000001
